0.42571,0.25394,0.50452,0.76807,-2.3379,-37.088,NaN,-1.7845,NaN,NaN,0.1,-2.7,-0.9,0.5,-2.1,2,NaN,NaN,-0.26814,0.42683,0.41341,-1.2128,2.9336,-1.9822,NaN,NaN
0.28162,0.079961,-0.57926,-1.1613,0.73789,7.9201,NaN,3.4957,0.14357,-0.53257,-0.1,-2.6,-0.2,-3.1,-0.8,-5,NaN,NaN,-0.59872,0.53562,0.37682,-0.72262,5.7974,-2.7399,4.6798,NaN
0.28841,0.14587,-0.23024,-0.085485,0.30948,1.1142,NaN,0.14377,0.17698,-0.58664,-1,2.3,-0.2,1.2,0.3,-1.6,NaN,NaN,-0.3035,1.3788,0.49923,-1.5242,3.7321,0.30817,3.4993,-0.65484
0.25335,0.21527,-0.42612,0.20284,0.46864,1.2604,NaN,0.99584,0.16117,-0.61722,3.4,0.4,-0.9,3.9,0.2,2.9,NaN,NaN,-0.54345,0.16059,0.20282,0.46296,-0.05813,0.81716,-1.4908,NaN
0.1825,0.018524,0.15133,0.17338,-3.8794,-13.2,NaN,2.1424,0.14376,-0.5893,-0.3,1.9,0.6,-1,0.2,1.5,NaN,NaN,-0.80416,0.63546,0.4307,-0.49462,-1.2096,0,0.39336,NaN
0.29972,0.063805,-0.86442,-1.2762,2.7348,9.4318,NaN,1.3092,0.11969,-0.49054,-1.9,-3,-0.6,-2.4,-1.5,-1.5,NaN,NaN,-0.52098,0.29822,0.19938,-1.8807,1.942,-0.61225,-3.9976,0.016415
0.29006,0.12223,0.28391,0.5115,0.29383,-1.7723,NaN,2.5479,0.12742,-0.52906,-0.5,2.1,0,2.4,2.3,-4.2,NaN,NaN,-0.077771,0.14386,0.67215,-3.1422,4.1866,2.7261,-6.8951,NaN
0.26345,0.084188,-0.26778,-0.090513,0.034417,7.4527,NaN,-2.3583,0.075685,-0.47987,0,-0.5,1.1,0.5,-0.9,0.8,NaN,NaN,-0.30263,0.51765,0.27977,-0.59152,7.3683,-0.8,-0.38329,NaN
0.16797,-0.05656,1.2555,1.1076,-0.034064,1.7757,NaN,2.8112,0.09127,-0.57251,1.9,-6.1,2.2,-0.8,0.8,0.4,NaN,NaN,-0.24525,0.38716,0.19971,2.9224,-0.20289,-0.70529,-3.9077,0.39221
0.30656,0.098951,-0.4641,-0.47397,-0.42522,-8.5534,NaN,1.8253,0.16073,-0.57611,-0.4,-1.6,2.6,-1.6,-1.2,-2.9,NaN,NaN,-0.20434,0.62809,0.37287,-0.59267,3.1567,-1.3232,4.5273,NaN
0.18,0.061385,0.6667,0.50976,-0.53867,1.0162,NaN,1.1756,0.069816,-0.5383,-1.7,-0.4,1.8,4.8,-1.8,6.3,NaN,NaN,-0.22532,0.56305,0.1184,-1.9706,-0.45517,1.7268,-8.3498,NaN
